Handicap,With_Or_Without,Par,Score
37.9,0,4,5
37.9,0,4,8
37.9,0,5,9
37.9,0,4,4
37.9,0,4,5
37.9,0,3,4
37.9,0,4,6
37.9,0,4,6
37.9,0,4,5
37.9,0,4,8
37.9,0,4,6
37.9,0,3,4
37.9,0,4,7
37.9,0,4,6
37.9,0,5,7
37.9,0,4,5
37.9,0,3,3
37.9,0,4,5
33.6,1,4,6
33.6,1,4,7
33.6,1,5,9
33.6,1,4,6
33.6,1,4,6
33.6,1,3,6
33.6,1,4,4
33.6,1,4,7
33.6,1,4,6
33.6,1,4,7
33.6,1,4,6
33.6,1,3,3
33.6,1,4,5
33.6,1,4,6
33.6,1,5,7
33.6,1,4,5
33.6,1,3,4
33.6,1,4,7
15.8,0,4,7
15.8,0,4,6
15.8,0,5,5
15.8,0,4,7
15.8,0,4,5
15.8,0,3,5
15.8,0,4,6
15.8,0,4,6
15.8,0,4,5
15.8,0,4,7
15.8,0,4,5
15.8,0,3,3
15.8,0,4,4
15.8,0,4,6
15.8,0,5,7
15.8,0,4,4
15.8,0,3,3
15.8,0,4,5
15.8,0,4,4
15.8,0,4,6
15.8,0,5,6
15.8,0,4,6
15.8,0,4,7
15.8,0,3,4
15.8,0,4,5
15.8,0,4,7
15.8,0,4,7
15.8,0,4,6
15.8,0,4,6
15.8,0,3,3
15.8,0,4,3
15.8,0,4,6
15.8,0,5,8
15.8,0,4,7
15.8,0,3,5
15.8,0,4,7
